tweet_id,text,airline_sentiment
570306133677760513,what said,average
570301130888122368,plus you ve added commercials to the experience tacky,good
570301083672813571,i didn t today must mean i need to take another trip,average
570301031407624196,it s really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,negative
570300817074462722,and it s a really big bad thing about it,worse
570300767074181121,seriously would pay a flight for seats that didn t have this playing it s really the only bad thing about flying va,negative
570300616901320704,yes nearly every time i fly vx this ear worm won t go away,good
570300248553349120,really missed a prime opportunity for men without hats parody there,average
570299953286942721,well i didn t but now i do d,good
570295459631263746,it was amazing and arrived an hour early you re too good to me,good
570294189143031808,did you know that suicide is the second leading cause of death among teens,average
570289724453216256,i lt pretty graphics so much better than minimal iconography d,good
570289584061480960,this is such a great deal already thinking about my nd trip to amp i haven t even gone on my st trip yet p,good
570287408438120448,i m flying your fabulous seductive skies again u take all the stress away from travel,good
570285904809598977,thanks,good
570282469121007616,sfo pdx schedule is still mia,negative
570277724385734656,so excited for my first cross country flight lax to mco i ve heard nothing but great things about virgin america daystogo,good
570276917301137409,i flew from nyc to sfo last week and couldn t fully sit in my seat due to two large gentleman on either side of me help,worse
570270684619923457,i flying,good
570267956648792064,you know what would be amazingly awesome bos fll please i want to fly with only you,good
570265883513384960,why are your first fares in may over three times more than other carriers when all seats are available to select,negative
570264145116819457,i love this graphic,good
570259420287868928,i love the hipster innovation you are a feel good brand,good
570258822297579520,will you be making bos gt las non stop permanently anytime soon,average
570256553502068736,you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet,negative
570249102404923392,status match program i applied and it s been three weeks called and emailed with no response,worse
570239632807370753,what happened ur vegan food options at least say on ur site so i know i won t be able eat anything for next hrs fail,negative
570217831557677057,do you miss me don t worry we ll be together very soon,average
570207886493782019,amazing to me that we can t get any cold air from the vents vx noair worstflightever roasted sfotobos,worse
570124596180955136,lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix,average
570114021854212096,hi i just bked a cool birthday trip with you but i can t add my elevate no cause i entered my middle name during flight booking problems,worse
570094701371469825,are the hours of operation for the club at sfo that are posted online current,average
570088404156698625,help left expensive headphones on flight iad to lax today seat a no one answering l amp f number at lax,worse
570084582780899328,awaiting my return phone call just would prefer to use your online self service option,worse
570076792993611776,this is great news america could start flights to hawaii by end of year via,good
570051991277342720,nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience,average
570051381534396416,moodlighting is the only way to fly best experience ever cool and calming moodlitmonday,good
570045393565691904,done and done best airline around hands down,good
570038941497192448,when can i book my flight to hawaii,average
570035876845084672,your chat support is not working on your site,worse
570033593394667521,view of downtown los angeles the hollywood sign and beyond that rain in the mountains,good
570025482344898560,hey first time flyer next week excited but i m having a hard time getting my flights added to my elevate account help,negative
570016304284901379,plz help me win my bid upgrade for my flight lax gt sea,average
570015408788414464,i have an unused ticket but moved to a new city where you don t fly how can i fly with you before it expires travelhelp,average
570013523650048002,are flights leaving dallas for seattle on time feb,average
570012257549070337,i m elevategold for a good reason you rock,good
570011341483843584,dream,average
570010571707256832,wow this just blew my mind,good
570010539499393025,after last night tribute soundofmusic oscars i think agree,average
570009713447825408,all were entertaining,average
570009035455344640,is flight on it s way was supposed to take off minutes ago website still shows on time not in flight thanks,average
570006886012973056,julie andrews all the way though was very impressive no to,good
570004391731847169,wish you flew out of atlanta soon,average
570001194900426752,julie andrews hands down,average
570000071644872704,will flights be leaving dallas for la on february th,average
569996412286582784,hi i m so excited about your lga gt dal deal but i ve been trying book since last week amp the page never loads thx,negative
569996245462159361,you know it need it on my spotify stat guiltypleasures,good
569990222609412097,i m lady gaga she is amazing,good
569990163209850881,carrie,average
569989504431316993,new marketing song let us know what you think,average
569989321698074624,julie andrews first but lady gaga wow d me last night carrie meh,average
569989034501500928,i called a weeks ago about adding flights from to my elevate they still haven t shown up help,worse
569987622484848640,all are great but i have to go with carrieunderwood,average
569986782567071744,sorry mary martin had it first,average
569986348041547778,love all three but you really can t beat the classics,good
